"Velocity_ft_p_s:0","Velocity_ft_p_s:1","Velocity_ft_p_s:2","Bed_Elev_ft","Water_Depth_ft","Water_Elev_ft","ManningN","h_99_percent","h_90_percent","h_50_percent","h_10_percent","h_1_percent","Points:0","Points:1","Points:2"
0.00061521,-0.00066745,0,945.95,0.024946,944.22,0.055,0,0,0,0.051853,0.1,4.0973e+05,1.8065e+06,945.95
-0.00095652,0.0001856,0,943.86,0.01713,942.92,0.06,0,0,0,0.046884,0.1,4.0885e+05,1.8064e+06,943.86
-0.00025063,-0.00052542,0,945.88,0.07539,944.06,0.055,0.025613,0.044783,0.065544,0.084212,0.1,4.0967e+05,1.8064e+06,945.88
-0.00033851,-0.00028904,0,946.02,0.073689,944.2,0.055,0.020466,0.040963,0.063161,0.08312,0.1,4.0968e+05,1.8064e+06,946.02
-0.00060164,0.0015462,0,946.06,0.017169,943.6,0.06,0,0,0,0.046887,0.1,4.0885e+05,1.8064e+06,946.06
-2.4491e-05,-0.0013284,0,944.56,0.085994,942.99,0.055,0.057666,0.068575,0.080391,0.091015,0.1,4.0963e+05,1.8064e+06,944.56
-0.00025063,-0.00052542,0,944.64,0.07539,942.95,0.055,0.025613,0.044783,0.065544,0.084212,0.1,4.0963e+05,1.8064e+06,944.64
0,0.0010993,0,949.03,0.017206,944.46,0.06,0,0,0,0.046889,0.1,4.0887e+05,1.8063e+06,949.03
-7.5728e-06,-0.00058683,0,944.31,0.039794,942.67,0.055,0.023406,0.029717,0.036552,0.042698,0.1,4.0963e+05,1.8063e+06,944.31
0,0.0010993,0,948.87,0.017206,944.19,0.06,0,0,0,0.046889,0.1,4.0888e+05,1.8063e+06,948.87
-0.00045371,-0.0007607,0,949.39,0.081415,944.25,0.06,0.060688,0.067927,0.075767,0.088077,0.1,4.0888e+05,1.8063e+06,949.39
-0.00023844,-0.00044136,0,949.64,0.089065,944.34,0.06,0.066947,0.075465,0.084691,0.092984,0.1,4.0888e+05,1.8063e+06,949.64
-0.00055407,-0.00072026,0,949.34,0.088554,944.24,0.06,0.065402,0.074318,0.083975,0.092656,0.1,4.0888e+05,1.8063e+06,949.34
0,0,0,943.49,0,942.2,0.055,0,0,0,0,0.1,4.0963e+05,1.8063e+06,943.49
0,0,0,943.5,0,942.24,0.055,0,0,0,0,0.1,4.0963e+05,1.8063e+06,943.5
