manning_n_1,manning_n_3,rmse
0.05,0.05,1000000.0
0.067793,0.031006,1000000.0
0.066781,0.055811,1000000.0
0.04675,0.025998,1000000.0
0.047555,0.040023,1000000.0
0.028572,0.059053,1000000.0
0.023385,0.06332,1000000.0
0.076313,0.020047,1000000.0
0.079533,0.057049,1000000.0
0.056699,0.020424,1000000.0
0.021384,0.051486,1000000.0
