manning_n_2,manning_n_4,rmse
0.05,0.05,0.344346
0.067793,0.031006,0.779744
0.066781,0.055811,0.787164
0.04675,0.025998,0.213834
0.047555,0.040023,0.255945
0.028572,0.059053,0.583855
0.023385,0.06332,0.942673
0.076313,0.020047,0.906726
0.079533,0.057049,1.005515
0.056699,0.020424,0.50296
0.021384,0.051486,1.096679
